#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 5619775676; Pedro Antonio Romero Morales; 28; 12; 14/02/2015; 14/02/2027; 3; 1(A); A1; Alto; 1 Hora(s); Narcotrafico
PPL 338; 4201148710; Fabian Adrian Paredes Roman; 47; 30; 27/04/1996; 27/04/2026; 2; 3(C); C78; Medio; 2 Hora(s); Evacion de Impuestos
PPL 339; 2324643146; Roberto Antonio Cuenca Roman; 26; 12; 12/08/2019; 12/08/2031; 7; 3(C); C79; Medio; 2 Hora(s); Fraude
PPL 340; 7151078071; Michael Antonio Guerrero Sanchez; 55; 39; 17/06/1990; 17/06/2029; 5; 3(C); C80; Medio; 2 Hora(s); Robo
PPL 341; 3682990749; Fabian Antonio Garcia Sanchez; 36; 21; 24/01/2009; 24/01/2030; 6; 3(C); C81; Medio; 2 Hora(s); Evacion de Impuestos
PPL 342; 7847880461; Dario Diego Paredes Hidalgo; 46; 24; 02/05/2012; 02/05/2036; 12; 3(C); C82; Medio; 2 Hora(s); Evacion de Impuestos
PPL 343; 4377860486; Michael Cesar Guerrero Hidalgo; 50; 33; 26/09/1996; 26/09/2029; 5; 3(C); C83; Medio; 2 Hora(s); Fraude
PPL 344; 6712338594; Michael Diego Garcia Reyes; 53; 38; 16/07/1990; 16/07/2028; 4; 3(C); C84; Medio; 2 Hora(s); Evacion de Impuestos
PPL 345; 4916231059; Carlos Adrian Paredes Hidalgo; 33; 16; 31/10/2010; 31/10/2026; 2; 3(C); C85; Medio; 2 Hora(s); Fraude
PPL 346; 5848743953; Dario Angel Guerrero Sanchez; 41; 28; 26/05/2011; 26/05/2039; 15; 3(C); C86; Medio; 2 Hora(s); Robo
PPL 347; 8048574014; Carlos Adrian Romero Rivera; 63; 48; 06/03/1980; 06/03/2028; 4; 3(C); C87; Medio; 2 Hora(s); Hurto
PPL 348; 9560344141; Carlos Diego Torres Reyes; 52; 34; 05/05/1994; 05/05/2028; 4; 3(C); C88; Medio; 2 Hora(s); Evacion de Impuestos
PPL 349; 5195169274; Mario Julian Gonzales Sanchez; 24; 18; 02/11/2024; 02/11/2042; 18; 3(C); C89; Medio; 2 Hora(s); Evacion de Impuestos
PPL 350; 8664877041; Gonzalo Angel Romero Morales; 39; 10; 07/09/2021; 07/09/2031; 7; 3(C); C90; Medio; 2 Hora(s); Fraude
PPL 351; 3318155827; Victor Sergio Romero Gomez; 60; 45; 13/06/1983; 13/06/2028; 4; 3(C); C1; Medio; 2 Hora(s); Hurto
PPL 352; 3549462335; Michael Paulo Garcia Morales; 58; 42; 19/04/1985; 19/04/2027; 3; 3(C); C2; Medio; 2 Hora(s); Robo
PPL 353; 6294348076; Victor Adrian Gonzales Sanchez; 50; 23; 11/02/2006; 11/02/2029; 5; 3(C); C3; Medio; 2 Hora(s); Robo
PPL 354; 7580513933; Roberto Paulo Cuenca Sanchez; 47; 30; 12/02/1996; 12/02/2026; 2; 3(C); C4; Medio; 2 Hora(s); Hurto
PPL 355; 8448354040; Roberto Paulo Cevallos Ramirez; 62; 42; 21/07/1984; 21/07/2026; 2; 3(C); C5; Medio; 2 Hora(s); Fraude
PPL 356; 5861243916; Mario Adrian Paredes Roman; 50; 31; 11/05/1995; 11/05/2026; 2; 3(C); C6; Medio; 2 Hora(s); Fraude
PPL 357; 1325146865; Victor Sergio Cuenca Hidalgo; 49; 32; 29/11/1997; 29/11/2029; 5; 3(C); C7; Medio; 2 Hora(s); Hurto
PPL 358; 6378065775; Mario Julian Gonzales Sanchez; 56; 41; 29/10/1988; 29/10/2029; 5; 3(C); C8; Medio; 2 Hora(s); Fraude
PPL 359; 8299810784; Pedro Antonio Paredes Morales; 60; 46; 30/05/1984; 30/05/2030; 6; 3(C); C9; Medio; 2 Hora(s); Fraude
PPL 360; 7625750206; Mario Antonio Cuenca Ramirez; 34; 25; 28/06/2023; 28/06/2048; 24; 3(C); C10; Medio; 2 Hora(s); Hurto
PPL 361; 1985314475; Roberto Angel Paredes Hidalgo; 45; 28; 22/01/1998; 22/01/2026; 2; 3(C); C11; Medio; 2 Hora(s); Robo
PPL 362; 9070467050; Pedro Cesar Cuenca Rivera; 57; 41; 18/08/1986; 18/08/2027; 3; 3(C); C12; Medio; 2 Hora(s); Hurto
PPL 363; 1468299485; Victor Diego Cevallos Rivera; 51; 33; 25/10/1994; 25/10/2027; 3; 3(C); C13; Medio; 2 Hora(s); Hurto
PPL 364; 9068427780; Pedro Antonio Cuenca Sanchez; 42; 30; 10/02/2006; 10/02/2036; 12; 3(C); C14; Medio; 2 Hora(s); Fraude
PPL 365; 5281459316; Pedro Julian Cevallos Morales; 36; 23; 18/02/2008; 18/02/2031; 7; 3(C); C15; Medio; 2 Hora(s); Hurto
PPL 366; 7933841875; Roberto Diego Perero Reyes; 37; 23; 02/10/2006; 02/10/2029; 5; 3(C); C16; Medio; 2 Hora(s); Robo
PPL 367; 7323816254; Roberto Angel Gonzales Rivera; 57; 44; 19/07/1986; 19/07/2030; 6; 3(C); C17; Medio; 2 Hora(s); Evacion de Impuestos
PPL 368; 1334713456; Gonzalo Pablo Cuenca Roman; 50; 27; 12/11/2016; 12/11/2043; 19; 3(C); C18; Medio; 2 Hora(s); Robo
PPL 369; 4220223232; Roberto Cesar Garcia Reyes; 35; 14; 30/07/2011; 30/07/2025; 1; 3(C); C19; Medio; 2 Hora(s); Hurto
PPL 370; 9323491420; Roberto Julian Garcia Espinosa; 54; 37; 02/11/1991; 02/11/2028; 4; 3(C); C20; Medio; 2 Hora(s); Fraude
PPL 371; 3424697738; Pedro Antonio Guerrero Sanchez; 62; 43; 12/09/1984; 12/09/2027; 3; 3(C); C21; Medio; 2 Hora(s); Hurto
PPL 372; 5685543515; Pedro Julian Cevallos Roman; 28; 25; 23/12/2023; 23/12/2048; 24; 3(C); C22; Medio; 2 Hora(s); Evacion de Impuestos
PPL 373; 5055751383; Dario Pablo Torres Reyes; 56; 43; 22/01/1987; 22/01/2030; 6; 3(C); C23; Medio; 2 Hora(s); Evacion de Impuestos
PPL 374; 1856458933; Mario Sergio Romero Morales; 39; 19; 05/06/2013; 05/06/2032; 8; 3(C); C24; Medio; 2 Hora(s); Fraude
PPL 375; 9302742252; Dario Paulo Romero Morales; 31; 27; 31/11/2020; 31/11/2047; 23; 3(C); C25; Medio; 2 Hora(s); Fraude
PPL 376; 3690554700; Roberto Angel Garcia Sanchez; 32; 20; 14/05/2015; 14/05/2035; 11; 3(C); C26; Medio; 2 Hora(s); Evacion de Impuestos
PPL 377; 6921618548; Victor Adrian Gonzales Ramirez; 60; 40; 14/04/1986; 14/04/2026; 2; 3(C); C27; Medio; 2 Hora(s); Fraude
PPL 378; 8063382113; Roberto Adrian Romero Hidalgo; 54; 37; 28/10/1991; 28/10/2028; 4; 3(C); C28; Medio; 2 Hora(s); Evacion de Impuestos
PPL 379; 3270843750; Roberto Adrian Paredes Rivera; 46; 30; 14/10/1998; 14/10/2028; 4; 3(C); C29; Medio; 2 Hora(s); Robo
PPL 380; 8769687066; Gonzalo Pablo Cuenca Sanchez; 43; 24; 30/06/2003; 30/06/2027; 3; 3(C); C30; Medio; 2 Hora(s); Hurto
PPL 381; 1041219736; Pedro Antonio Torres Morales; 56; 38; 20/05/1989; 20/05/2027; 3; 3(C); C31; Medio; 2 Hora(s); Fraude
PPL 382; 2452211505; Fabian Paulo Romero Morales; 34; 14; 04/10/2012; 04/10/2026; 2; 3(C); C32; Medio; 2 Hora(s); Robo
PPL 383; 9887670382; Pedro Cesar Cevallos Reyes; 39; 17; 31/03/2010; 31/03/2027; 3; 3(C); C33; Medio; 2 Hora(s); Evacion de Impuestos
PPL 384; 9093540073; Roberto Antonio Cuenca Morales; 28; 9; 09/01/2024; 09/01/2033; 9; 3(C); C34; Medio; 2 Hora(s); Hurto
PPL 385; 3911510765; Victor Antonio Paredes Roman; 64; 49; 01/09/1980; 01/09/2029; 5; 3(C); C35; Medio; 2 Hora(s); Evacion de Impuestos
PPL 386; 3777821050; Michael Julian Gonzales Morales; 23; 30; 31/10/2020; 31/10/2050; 26; 3(C); C36; Medio; 2 Hora(s); Evacion de Impuestos
PPL 387; 4183669912; Dario Cesar Paredes Reyes; 49; 22; 06/07/2004; 06/07/2026; 2; 3(C); C37; Medio; 2 Hora(s); Evacion de Impuestos
PPL 388; 9666857849; Victor Cesar Gonzales Espinosa; 30; 4; 25/08/2021; 25/08/2025; 1; 3(C); C38; Medio; 2 Hora(s); Hurto
PPL 389; 5955740803; Gonzalo Antonio Torres Rivera; 47; 26; 09/03/2016; 09/03/2042; 18; 3(C); C39; Medio; 2 Hora(s); Robo
PPL 390; 2821074094; Carlos Julian Romero Sanchez; 33; 17; 17/06/2012; 17/06/2029; 5; 3(C); C40; Medio; 2 Hora(s); Hurto
PPL 391; 1818932375; Roberto Julian Guerrero Ramirez; 36; 21; 09/12/2009; 09/12/2030; 6; 3(C); C41; Medio; 2 Hora(s); Fraude
PPL 392; 7223129154; Roberto Cesar Cuenca Roman; 61; 44; 07/04/1983; 07/04/2027; 3; 3(C); C42; Medio; 2 Hora(s); Evacion de Impuestos
PPL 393; 7717318521; Gonzalo Pablo Romero Rivera; 53; 36; 31/12/1991; 31/12/2027; 3; 3(C); C43; Medio; 2 Hora(s); Hurto
PPL 394; 1934875426; Victor Antonio Paredes Ramirez; 60; 45; 26/12/1984; 26/12/2029; 5; 3(C); C44; Medio; 2 Hora(s); Evacion de Impuestos
PPL 395; 3803734216; Michael Paulo Cevallos Hidalgo; 51; 33; 08/05/1995; 08/05/2028; 4; 3(C); C45; Medio; 2 Hora(s); Evacion de Impuestos
PPL 396; 4117143840; Mario Angel Romero Rivera; 55; 41; 18/09/1989; 18/09/2030; 6; 3(C); C46; Medio; 2 Hora(s); Robo
PPL 397; 2565448383; Michael Antonio Cuenca Hidalgo; 60; 45; 10/11/1985; 10/11/2030; 6; 3(C); C47; Medio; 2 Hora(s); Evacion de Impuestos
PPL 398; 3362839554; Carlos Antonio Garcia Hidalgo; 42; 30; 19/09/2005; 19/09/2035; 11; 3(C); C48; Medio; 2 Hora(s); Fraude
PPL 399; 7273050270; Gonzalo Antonio Torres Rivera; 41; 24; 11/01/2003; 11/01/2027; 3; 3(C); C49; Medio; 2 Hora(s); Hurto
PPL 400; 7470866078; Roberto Antonio Guerrero Reyes; 61; 46; 24/04/1983; 24/04/2029; 5; 3(C); C50; Medio; 2 Hora(s); Evacion de Impuestos
PPL 401; 1399453480; Gonzalo Cesar Paredes Roman; 59; 40; 23/11/1986; 23/11/2026; 2; 3(C); C51; Medio; 2 Hora(s); Robo
PPL 402; 1834578475; Dario Julian Paredes Sanchez; 33; 14; 14/06/2013; 14/06/2027; 3; 3(C); C52; Medio; 2 Hora(s); Fraude
PPL 403; 7735463292; Victor Julian Garcia Espinosa; 57; 39; 22/12/1989; 22/12/2028; 4; 3(C); C53; Medio; 2 Hora(s); Evacion de Impuestos
PPL 404; 7131680487; Mario Julian Gonzales Reyes; 63; 43; 30/08/1983; 30/08/2026; 2; 3(C); C54; Medio; 2 Hora(s); Evacion de Impuestos
PPL 405; 7875636772; Victor Julian Cuenca Ramirez; 58; 42; 07/05/1985; 07/05/2027; 3; 3(C); C55; Medio; 2 Hora(s); Robo
PPL 406; 3153234718; Dario Angel Romero Gomez; 61; 44; 25/02/1983; 25/02/2027; 3; 3(C); C56; Medio; 2 Hora(s); Fraude
PPL 407; 1560532135; Fabian Angel Torres Sanchez; 33; 30; 11/06/2017; 11/06/2047; 23; 3(C); C57; Medio; 2 Hora(s); Hurto
PPL 408; 9347097710; Pedro Diego Cevallos Hidalgo; 41; 21; 08/03/2005; 08/03/2026; 2; 3(C); C58; Medio; 2 Hora(s); Robo
PPL 409; 8110412509; Fabian Pablo Cevallos Roman; 44; 28; 09/05/1999; 09/05/2027; 3; 3(C); C59; Medio; 2 Hora(s); Fraude
PPL 410; 2643949593; Dario Diego Gonzales Reyes; 46; 21; 28/07/2008; 28/07/2029; 5; 3(C); C60; Medio; 2 Hora(s); Robo
PPL 411; 8730723017; Michael Paulo Paredes Sanchez; 52; 37; 03/09/1991; 03/09/2028; 4; 3(C); C61; Medio; 2 Hora(s); Fraude
PPL 412; 7086159200; Gonzalo Angel Cevallos Gomez; 63; 47; 04/05/1980; 04/05/2027; 3; 3(C); C62; Medio; 2 Hora(s); Hurto
PPL 413; 5020213644; Roberto Antonio Paredes Gomez; 42; 5; 24/12/2022; 24/12/2027; 3; 3(C); C63; Medio; 2 Hora(s); Fraude
PPL 414; 3742345344; Victor Julian Romero Sanchez; 42; 23; 31/09/2012; 31/09/2035; 11; 3(C); C64; Medio; 2 Hora(s); Fraude
PPL 415; 2983819947; Michael Paulo Cevallos Gomez; 44; 23; 22/09/2024; 22/09/2047; 23; 3(C); C65; Medio; 2 Hora(s); Evacion de Impuestos
PPL 416; 4458863924; Pedro Sergio Perero Morales; 44; 29; 14/05/1999; 14/05/2028; 4; 3(C); C66; Medio; 2 Hora(s); Fraude
PPL 417; 3573162940; Michael Julian Cevallos Ramirez; 55; 37; 20/07/1991; 20/07/2028; 4; 3(C); C67; Medio; 2 Hora(s); Hurto
PPL 418; 6087386896; Fabian Julian Garcia Morales; 42; 24; 10/11/2005; 10/11/2029; 5; 3(C); C68; Medio; 2 Hora(s); Robo
PPL 419; 8143734095; Mario Pablo Romero Hidalgo; 50; 27; 07/07/2003; 07/07/2030; 6; 3(C); C69; Medio; 2 Hora(s); Hurto
PPL 420; 7698910684; Gonzalo Adrian Torres Sanchez; 43; 29; 13/07/2001; 13/07/2030; 6; 3(C); C70; Medio; 2 Hora(s); Hurto
PPL 421; 8649618053; Fabian Angel Guerrero Ramirez; 48; 32; 30/03/1996; 30/03/2028; 4; 3(C); C71; Medio; 2 Hora(s); Fraude
PPL 422; 2852897460; Dario Sergio Paredes Sanchez; 55; 41; 13/08/1988; 13/08/2029; 5; 3(C); C72; Medio; 2 Hora(s); Robo
PPL 423; 8994173224; Gonzalo Sergio Paredes Ramirez; 43; 26; 06/11/2000; 06/11/2026; 2; 3(C); C73; Medio; 2 Hora(s); Fraude
PPL 424; 5553824838; Gonzalo Julian Gonzales Morales; 60; 41; 24/08/1986; 24/08/2027; 3; 3(C); C74; Medio; 2 Hora(s); Hurto
PPL 425; 9362134256; Pedro Diego Guerrero Reyes; 37; 22; 27/11/2007; 27/11/2029; 5; 3(C); C75; Medio; 2 Hora(s); Hurto
PPL 426; 2277737706; Carlos Antonio Perero Hidalgo; 36; 17; 27/05/2009; 27/05/2026; 2; 3(C); C76; Medio; 2 Hora(s); Fraude
PPL 427; 3069395419; Victor Cesar Paredes Sanchez; 59; 39; 05/02/1987; 05/02/2026; 2; 3(C); C77; Medio; 2 Hora(s); Fraude
PPL 428; 9226287343; Mario Pablo Torres Sanchez; 61; 45; 17/09/1983; 17/09/2028; 4; 3(C); C78; Medio; 2 Hora(s); Evacion de Impuestos
PPL 429; 7027268387; Pedro Antonio Gonzales Roman; 43; 22; 26/11/2007; 26/11/2029; 5; 3(C); C79; Medio; 2 Hora(s); Hurto
PPL 430; 9512458955; Gonzalo Pablo Cevallos Sanchez; 34; 28; 01/05/2013; 01/05/2041; 17; 3(C); C80; Medio; 2 Hora(s); Evacion de Impuestos
PPL 431; 8406793884; Roberto Adrian Cuenca Ramirez; 50; 34; 28/08/1994; 28/08/2028; 4; 3(C); C81; Medio; 2 Hora(s); Hurto
PPL 432; 8022599757; Dario Adrian Paredes Hidalgo; 47; 29; 12/08/2011; 12/08/2040; 16; 3(C); C82; Medio; 2 Hora(s); Robo
PPL 433; 2073323685; Dario Julian Torres Sanchez; 46; 17; 06/05/2010; 06/05/2027; 3; 3(C); C83; Medio; 2 Hora(s); Hurto
PPL 434; 6266473211; Gonzalo Sergio Cuenca Espinosa; 42; 30; 15/06/2011; 15/06/2041; 17; 3(C); C84; Medio; 2 Hora(s); Hurto
PPL 435; 6741331588; Mario Antonio Romero Ramirez; 48; 32; 31/12/1995; 31/12/2027; 3; 3(C); C85; Medio; 2 Hora(s); Fraude
PPL 436; 5459019504; Victor Antonio Guerrero Morales; 29; 6; 13/06/2019; 13/06/2025; 1; 3(C); C86; Medio; 2 Hora(s); Hurto
PPL 437; 1582885336; Pedro Antonio Paredes Rivera; 30; 15; 14/05/2015; 14/05/2030; 6; 3(C); C87; Medio; 2 Hora(s); Evacion de Impuestos
PPL 438; 4033997565; Roberto Julian Torres Sanchez; 54; 38; 23/08/1990; 23/08/2028; 4; 3(C); C88; Medio; 2 Hora(s); Robo
PPL 439; 2099287888; Roberto Adrian Gonzales Rivera; 62; 46; 28/10/1981; 28/10/2027; 3; 3(C); C89; Medio; 2 Hora(s); Robo
PPL 440; 5496782652; Dario Sergio Garcia Espinosa; 39; 26; 29/10/2004; 29/10/2030; 6; 3(C); C90; Medio; 2 Hora(s); Hurto
PPL 441; 3296898313; Dario Pablo Paredes Espinosa; 48; 26; 19/07/2010; 19/07/2036; 12; 4(D); D1; Bajo; 4 Hora(s); Escandalo Publico
PPL 442; 5651449931; Carlos Sergio Cuenca Espinosa; 49; 29; 26/02/1997; 26/02/2026; 2; 4(D); D2; Bajo; 4 Hora(s); Escandalo Publico
PPL 443; 7584579936; Fabian Adrian Cuenca Rivera; 49; 32; 19/06/1996; 19/06/2028; 4; 4(D); D3; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 444; 1028972751; Carlos Sergio Garcia Roman; 44; 16; 07/08/2010; 07/08/2026; 2; 4(D); D4; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 445; 4267215123; Victor Angel Paredes Sanchez; 28; 9; 23/05/2018; 23/05/2027; 3; 4(D); D5; Bajo; 4 Hora(s); Escandalo Publico
PPL 446; 9531838289; Fabian Diego Paredes Rivera; 64; 48; 30/04/1982; 30/04/2030; 6; 4(D); D6; Bajo; 4 Hora(s); Otros
PPL 447; 9665597794; Roberto Julian Cuenca Rivera; 44; 13; 13/07/2016; 13/07/2029; 5; 4(D); D7; Bajo; 4 Hora(s); Escandalo Publico
PPL 448; 9989140677; Dario Angel Torres Reyes; 57; 41; 01/12/1987; 01/12/2028; 4; 4(D); D8; Bajo; 4 Hora(s); Otros
PPL 449; 3498939783; Fabian Paulo Guerrero Roman; 48; 29; 20/12/1996; 20/12/2025; 1; 4(D); D9; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 450; 3955045661; Fabian Adrian Paredes Morales; 47; 16; 23/09/2010; 23/09/2026; 2; 4(D); D10; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 451; 6577889778; Dario Paulo Gonzales Ramirez; 45; 31; 12/12/1998; 12/12/2029; 5; 4(D); D11; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 452; 8476637453; Carlos Antonio Gonzales Morales; 57; 43; 08/05/1986; 08/05/2029; 5; 4(D); D12; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 453; 6220917852; Gonzalo Diego Guerrero Hidalgo; 63; 47; 30/02/1981; 30/02/2028; 4; 4(D); D13; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 454; 9174298018; Pedro Antonio Torres Reyes; 32; 15; 07/09/2011; 07/09/2026; 2; 4(D); D14; Bajo; 4 Hora(s); Escandalo Publico
PPL 455; 3461231494; Gonzalo Paulo Guerrero Morales; 34; 20; 26/02/2022; 26/02/2042; 18; 4(D); D15; Bajo; 4 Hora(s); Escandalo Publico
PPL 456; 8995548616; Gonzalo Julian Garcia Reyes; 54; 41; 18/05/1989; 18/05/2030; 6; 4(D); D16; Bajo; 4 Hora(s); Estafa
PPL 457; 3635177650; Fabian Julian Paredes Rivera; 46; 29; 20/06/2000; 20/06/2029; 5; 4(D); D17; Bajo; 4 Hora(s); Estafa
PPL 458; 2090542627; Roberto Antonio Romero Reyes; 42; 28; 23/11/2001; 23/11/2029; 5; 4(D); D18; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 459; 2280781990; Michael Cesar Garcia Rivera; 56; 43; 23/12/1987; 23/12/2030; 6; 4(D); D19; Bajo; 4 Hora(s); Otros
PPL 460; 2556179802; Carlos Sergio Perero Sanchez; 47; 27; 02/12/2001; 02/12/2028; 4; 4(D); D20; Bajo; 4 Hora(s); Estafa
PPL 461; 3355945202; Roberto Julian Torres Espinosa; 59; 45; 08/04/1984; 08/04/2029; 5; 4(D); D21; Bajo; 4 Hora(s); Escandalo Publico
PPL 462; 2002269076; Fabian Adrian Paredes Gomez; 59; 41; 28/08/1987; 28/08/2028; 4; 4(D); D22; Bajo; 4 Hora(s); Escandalo Publico
PPL 463; 8809062872; Roberto Paulo Perero Ramirez; 57; 40; 14/05/1986; 14/05/2026; 2; 4(D); D23; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 464; 8230295438; Victor Angel Perero Gomez; 34; 21; 27/08/2011; 27/08/2032; 8; 4(D); D24; Bajo; 4 Hora(s); Otros
PPL 465; 7805543493; Michael Paulo Cuenca Ramirez; 59; 39; 04/04/1987; 04/04/2026; 2; 4(D); D25; Bajo; 4 Hora(s); Estafa
PPL 466; 3517264309; Pedro Adrian Perero Sanchez; 42; 19; 14/06/2010; 14/06/2029; 5; 4(D); D26; Bajo; 4 Hora(s); Estafa
PPL 467; 9120351514; Fabian Angel Perero Roman; 47; 31; 27/06/1997; 27/06/2028; 4; 4(D); D27; Bajo; 4 Hora(s); Otros
PPL 468; 7475475559; Dario Antonio Torres Morales; 49; 34; 07/11/1994; 07/11/2028; 4; 4(D); D28; Bajo; 4 Hora(s); Otros
PPL 469; 2261423842; Victor Angel Cevallos Morales; 60; 47; 14/01/1983; 14/01/2030; 6; 4(D); D29; Bajo; 4 Hora(s); Otros
PPL 470; 3596360192; Mario Sergio Guerrero Rivera; 51; 36; 01/04/1992; 01/04/2028; 4; 4(D); D30; Bajo; 4 Hora(s); Estafa
PPL 471; 5452627629; Victor Adrian Perero Reyes; 34; 23; 21/07/2012; 21/07/2035; 11; 4(D); D31; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 472; 2314527813; Dario Cesar Guerrero Sanchez; 53; 37; 09/06/1990; 09/06/2027; 3; 4(D); D32; Bajo; 4 Hora(s); Estafa
PPL 473; 7498354292; Carlos Paulo Romero Rivera; 51; 35; 23/11/1995; 23/11/2030; 6; 4(D); D33; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 474; 2535490188; Roberto Antonio Gonzales Hidalgo; 57; 43; 26/04/1987; 26/04/2030; 6; 4(D); D34; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 475; 5320848976; Dario Diego Cuenca Reyes; 48; 28; 03/09/2013; 03/09/2041; 17; 4(D); D35; Bajo; 4 Hora(s); Estafa
PPL 476; 6220784497; Carlos Diego Paredes Gomez; 40; 24; 17/06/2005; 17/06/2029; 5; 4(D); D36; Bajo; 4 Hora(s); Otros
PPL 477; 1931958917; Fabian Paulo Cevallos Gomez; 64; 47; 26/10/1982; 26/10/2029; 5; 4(D); D37; Bajo; 4 Hora(s); Estafa
PPL 478; 5106446783; Pedro Cesar Paredes Espinosa; 43; 30; 15/01/2008; 15/01/2038; 14; 4(D); D38; Bajo; 4 Hora(s); Escandalo Publico
PPL 479; 4180621746; Dario Pablo Gonzales Ramirez; 61; 44; 07/10/1983; 07/10/2027; 3; 4(D); D39; Bajo; 4 Hora(s); Otros
PPL 480; 4066326140; Fabian Julian Cevallos Sanchez; 26; 24; 28/08/2024; 28/08/2048; 24; 4(D); D40; Bajo; 4 Hora(s); Otros
PPL 481; 6977167069; Mario Diego Cevallos Hidalgo; 64; 45; 04/04/1982; 04/04/2027; 3; 4(D); D41; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 482; 5279163746; Victor Julian Garcia Espinosa; 54; 34; 08/11/1992; 08/11/2026; 2; 4(D); D42; Bajo; 4 Hora(s); Escandalo Publico
PPL 483; 4195945838; Victor Antonio Romero Rivera; 41; 21; 13/06/2008; 13/06/2029; 5; 4(D); D43; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 484; 9846228359; Gonzalo Paulo Paredes Hidalgo; 38; 22; 26/05/2007; 26/05/2029; 5; 4(D); D44; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 485; 9879471920; Fabian Pablo Gonzales Ramirez; 44; 25; 26/03/2014; 26/03/2039; 15; 4(D); D45; Bajo; 4 Hora(s); Otros
PPL 486; 3272277645; Roberto Adrian Paredes Roman; 63; 49; 27/11/1980; 27/11/2029; 5; 4(D); D46; Bajo; 4 Hora(s); Otros
PPL 487; 5790685209; Fabian Antonio Romero Reyes; 55; 38; 26/09/1991; 26/09/2029; 5; 4(D); D47; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 488; 1744236309; Gonzalo Pablo Cuenca Rivera; 62; 48; 25/01/1981; 25/01/2029; 5; 4(D); D48; Bajo; 4 Hora(s); Otros
PPL 489; 4216361775; Dario Sergio Guerrero Espinosa; 28; 16; 20/03/2018; 20/03/2034; 10; 4(D); D49; Bajo; 4 Hora(s); Escandalo Publico
PPL 490; 6818738804; Pedro Cesar Romero Roman; 26; 29; 19/05/2020; 19/05/2049; 25; 4(D); D50; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 491; 1022978667; Gonzalo Pablo Cuenca Sanchez; 48; 29; 31/10/1998; 31/10/2027; 3; 4(D); D51; Bajo; 4 Hora(s); Estafa
PPL 492; 2910459016; Mario Diego Paredes Hidalgo; 65; 46; 03/08/1981; 03/08/2027; 3; 4(D); D52; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 493; 7037889354; Gonzalo Angel Cuenca Roman; 30; 21; 07/03/2015; 07/03/2036; 12; 4(D); D53; Bajo; 4 Hora(s); Escandalo Publico
PPL 494; 6827011776; Roberto Antonio Cuenca Rivera; 48; 32; 29/03/1995; 29/03/2027; 3; 4(D); D54; Bajo; 4 Hora(s); Estafa
PPL 495; 9081097258; Mario Antonio Romero Rivera; 32; 13; 19/07/2017; 19/07/2030; 6; 4(D); D55; Bajo; 4 Hora(s); Escandalo Publico
PPL 496; 1923094390; Carlos Antonio Garcia Roman; 39; 25; 01/01/2009; 01/01/2034; 10; 4(D); D56; Bajo; 4 Hora(s); Estafa
PPL 497; 3969986571; Roberto Antonio Paredes Sanchez; 46; 28; 25/04/1997; 25/04/2025; 1; 4(D); D57; Bajo; 4 Hora(s); Otros
PPL 498; 9972058714; Dario Cesar Paredes Morales; 43; 18; 03/12/2013; 03/12/2031; 7; 4(D); D58; Bajo; 4 Hora(s); Otros
PPL 499; 7238086834; Carlos Diego Cuenca Morales; 40; 21; 08/04/2016; 08/04/2037; 13; 4(D); D59; Bajo; 4 Hora(s); Otros
PPL 500; 3825840026; Michael Antonio Paredes Sanchez; 62; 47; 12/12/1983; 12/12/2030; 6; 4(D); D60; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 501; 1112855879; Michael Diego Garcia Reyes; 24; 13; 23/06/2021; 23/06/2034; 10; 4(D); D61; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 502; 5769591815; Mario Pablo Paredes Sanchez; 45; 29; 29/11/2000; 29/11/2029; 5; 4(D); D62; Bajo; 4 Hora(s); Otros
PPL 503; 9305118320; Victor Diego Guerrero Roman; 45; 31; 08/11/1998; 08/11/2029; 5; 4(D); D63; Bajo; 4 Hora(s); Invacion de Propiedad Privada
PPL 504; 9333357558; Victor Paulo Guerrero Espinosa; 47; 29; 17/10/1998; 17/10/2027; 3; 4(D); D64; Bajo; 4 Hora(s); Escandalo Publico
